date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,Next_Day_AQI
2023-01-01,129.58333333333334,38.4625,69.53750000000001,36.35416666666666,33.37916666666667,782.7083333333334,84.91666666666667,19.875,65.375,0.0,119.41666666666669
2023-01-02,119.41666666666669,59.99166666666667,98.88333333333333,47.24166666666667,49.3625,905.7083333333334,71.70833333333333,19.725,51.583333333333336,0.0,153.0
2023-01-03,153.0,51.5125,77.68333333333334,25.275,27.15416666666667,542.7083333333334,80.125,19.75,36.458333333333336,0.0,117.20833333333331
2023-01-04,117.20833333333331,40.72083333333333,60.7875,18.004166666666666,25.825,466.625,94.54166666666669,18.866666666666667,33.041666666666664,0.0,119.95833333333331
2023-01-05,119.95833333333331,43.60833333333333,63.775,14.416666666666666,28.4625,487.625,103.04166666666669,17.4875,31.666666666666668,0.0,121.75
2023-01-06,121.75,46.22083333333333,67.63333333333334,14.479166666666666,31.416666666666668,515.0833333333334,108.25,18.45833333333333,28.08333333333333,0.0,132.08333333333334
2023-01-07,132.08333333333334,50.18333333333334,73.10416666666667,24.09583333333333,39.6125,682.1666666666666,101.625,19.925,29.25,0.0,144.625
2023-01-08,144.625,87.09583333333335,125.82916666666668,70.9875,82.81666666666666,1645.7916666666667,104.625,19.195833333333333,39.208333333333336,0.0,173.375
2023-01-09,173.375,87.19583333333333,128.42083333333332,81.33333333333333,80.4125,1781.0833333333333,93.375,19.34583333333333,69.95833333333333,0.0,172.33333333333334
2023-01-10,172.33333333333334,110.39166666666668,162.80416666666667,88.10000000000001,84.10833333333333,2022.9583333333333,79.41666666666667,19.825,72.70833333333333,0.0,153.83333333333334
2023-01-11,153.83333333333334,30.45,54.75,29.054166666666664,25.629166666666663,667.0833333333334,76.79166666666667,21.5125,77.16666666666667,0.0083333333333333,77.875
2023-01-12,77.875,24.604166666666668,77.04166666666667,17.087500000000002,18.65,348.0416666666667,68.5,18.054166666666667,28.58333333333333,0.0,80.08333333333333
2023-01-13,80.08333333333333,33.55833333333333,62.78333333333333,30.266666666666666,28.516666666666666,615.6666666666666,81.54166666666667,15.1875,17.916666666666668,0.0,98.66666666666669
2023-01-14,98.66666666666669,27.5875,46.44583333333333,32.737500000000004,23.4625,589.8333333333334,68.83333333333333,15.329166666666666,28.875,0.0,92.66666666666669
2023-01-15,92.66666666666669,42.52916666666667,67.01666666666667,32.82083333333333,38.59583333333333,765.375,85.95833333333333,14.870833333333332,43.708333333333336,0.0,135.625
2023-01-16,135.625,60.375,96.44166666666666,35.270833333333336,60.37083333333334,738.2916666666666,76.83333333333333,16.441666666666666,54.708333333333336,0.0,156.125
2023-01-17,156.125,79.125,117.58333333333331,47.25,59.9125,1056.25,93.125,17.029166666666665,37.208333333333336,0.0,168.33333333333334
2023-01-18,168.33333333333334,101.02083333333331,147.65833333333333,78.37083333333334,57.18333333333334,1448.25,63.41666666666666,17.716666666666665,40.04166666666666,0.0,170.33333333333334
2023-01-19,170.33333333333334,66.89999999999999,99.225,42.19166666666667,30.99166666666667,839.875,77.25,18.466666666666665,34.5,0.0,145.375
2023-01-20,145.375,54.833333333333336,83.5125,22.558333333333334,30.8125,676.2083333333334,109.08333333333331,17.620833333333334,46.91666666666666,0.0,147.875
2023-01-21,147.875,48.16666666666666,72.61666666666666,25.5875,36.13333333333333,678.625,96.41666666666669,17.212500000000002,50.25,0.0,132.58333333333334
2023-01-22,132.58333333333334,50.04166666666666,75.94583333333334,37.94166666666667,45.25416666666666,862.1666666666666,84.45833333333333,16.558333333333334,48.29166666666666,0.0,118.0
2023-01-23,118.0,34.68333333333333,53.49583333333334,33.233333333333334,32.0875,722.4583333333334,71.125,16.533333333333335,32.541666666666664,0.0,118.54166666666669
2023-01-24,118.54166666666669,50.55,78.99166666666666,41.43333333333333,40.18333333333333,869.5,82.83333333333333,15.0625,40.91666666666666,0.0,113.33333333333331
2023-01-25,113.33333333333331,41.329166666666666,69.38333333333334,37.67083333333333,39.61666666666667,718.0833333333334,80.70833333333333,14.841666666666669,43.208333333333336,0.0,114.29166666666669
2023-01-26,114.29166666666669,31.70833333333333,49.2875,24.64583333333333,31.058333333333334,483.7083333333333,82.625,16.3875,29.33333333333333,0.0,91.25
2023-01-27,91.25,34.92916666666667,51.97916666666666,17.658333333333335,25.27083333333333,452.7083333333333,104.54166666666669,17.366666666666667,26.041666666666668,0.0,104.75
2023-01-28,104.75,44.30416666666667,65.15833333333333,32.583333333333336,27.58333333333333,626.125,96.25,18.075,24.25,0.0,133.20833333333334
2023-01-29,133.20833333333334,38.5625,57.925,40.78333333333333,33.729166666666664,743.5833333333334,75.25,17.379166666666666,42.66666666666666,0.0,101.16666666666669
2023-01-30,101.16666666666669,58.92916666666667,91.62083333333334,49.82916666666667,49.3375,1110.1666666666667,91.66666666666669,18.166666666666668,49.125,0.0,155.625
2023-01-31,155.625,53.96666666666667,81.39999999999999,28.725,29.42083333333333,655.3333333333334,89.75,19.379166666666663,36.333333333333336,0.0,145.95833333333334
2023-02-01,145.95833333333334,51.395833333333336,75.91666666666667,33.02916666666667,35.6625,823.5,107.33333333333331,19.516666666666666,39.958333333333336,0.0,156.91666666666666
